Gene names (ordered locus ),dataset_effect_log2FC,p_value,n_obs,n_growth_rates,mean_formate,mean_phosphate,fdr
MMP1621,1.4364097765981017,0.005560522103002292,6,2,-0.23277862676682276,-1.4399073622710046,0.07947523957326477
MMP0040,-2.2316163393931845,0.005604023303243028,10,2,0.3956717617192897,2.7818795381797865,0.07947523957326477
MMP1524,-1.4516490595495468,0.006397714876824365,11,2,-1.1908741361196846,0.2946218796544591,0.08871497962529787
MMP1545,1.0701838228197236,0.0068037306754569855,12,2,-0.11183135512628006,-1.1820151779460042,0.09229408568445997
MMP0370,-1.4100782731623727,0.0072362413772765624,8,2,-0.7645455098643444,0.6455327632980279,0.09607265147703352
MMP1321,0.7496891319456809,0.007397212886043083,12,2,-0.09403482135388197,-0.8437239532995631,0.09616376751856007
MMP0836,-1.0168498239161683,0.00793883249221987,12,2,0.30293156534264476,1.3197813892588135,0.1010986015335755
MMP1222,0.8006444306654831,0.008656443884147162,12,2,0.46347729251986486,-0.33716713814561844,0.10803241967415657
MMP1038,0.7464709827320962,0.009037055693310661,12,2,-0.43058630345634263,-1.177057286188439,0.11057103436521279
MMP0432,-1.3660336553432524,0.009305443861666738,7,2,-1.6689209536091196,-0.22630810127844708,0.11166532634000086
MMP1439,-1.7611235682702029,0.009507593609275146,12,2,-0.07605751889037678,1.6850660493798273,0.11193846060731492
MMP0567,1.5058839429197743,0.009991565108612287,11,2,0.22173889806908473,-1.2745510380637188,0.11366080792341024
MMP0281,-1.4325533181361565,0.010182999946256483,12,2,0.46057464576281,1.8931279638989675,0.11366080792341024
MMP1434,0.6580814662302797,0.010200328916203483,11,2,-0.5185045270843378,-1.1234026045964647,0.11366080792341024
MMP1366,0.6596791541555924,0.010841896469408039,12,2,-0.41645366060837424,-1.076132814763967,0.11494196484433576
MMP1712,-0.7785840172350332,0.010993220474327221,12,2,-0.3780945214409019,0.4004894957941317,0.11494196484433576
MMP0684,1.7017812688192637,0.011398390565318477,12,2,0.21971148301331414,-1.4820697858059508,0.11494196484433576
MMP1433,0.9651972571617374,0.011610107089967518,12,2,-0.08821572292218428,-1.0534129800839223,0.11494196484433576
MMP1302,1.0686065313011228,0.011699541473785859,12,2,1.5602113513902918,0.4916048200891683,0.11494196484433576
MMP0980,0.914374492494225,0.01175348247993591,12,2,-0.1812865732965887,-1.0956610657908143,0.11494196484433576
MMP0808,-2.469772341377198,0.01180884710086392,7,2,-0.10343165675600925,2.537261426088294,0.11494196484433576
MMP1248,0.6382528298857068,0.011962398971496457,12,2,0.449741179481411,-0.18851165040429607,0.11494196484433576
MMP1419,0.7287379893724228,0.011973121337951642,12,2,-0.13846453522100205,-0.8672025245934251,0.11494196484433576
MMP1652,2.960983906621036,0.012625285570387878,7,2,2.0599509198197428,0.15571744497967946,0.11936633630184902
MMP0082,-1.1345502194340862,0.013827138800840064,12,2,-0.3918866218162416,0.7426635976178454,0.12642297113720657
MMP0340,-1.0227111632585717,0.013854465798632136,12,2,-0.83116095256308,0.19155021069549252,0.12642297113720657
MMP0357,3.4821995027567296,0.013979463154594956,7,2,2.4736385735196267,-0.9056739428915253,0.12642297113720657
MMP1325,0.9122310418763582,0.015057343993037405,12,2,-0.2161294529690542,-1.1283604948454127,0.13422546645221914
MMP1421,0.7549505583647012,0.015331656601909851,12,2,-0.20178537944265687,-0.9567359378073582,0.13474582703650348
MMP1381,-1.4036058369551359,0.0162319041244117,10,2,-0.8448941607452085,0.5587116762099266,0.13784785289694984
MMP0866,1.1444436960567308,0.016333399882979636,12,2,-0.06439418390525233,-1.2088378799619834,0.13784785289694984
MMP0657,0.8532412868634194,0.016465744523189302,12,2,0.19277327892498355,-0.6604680079384363,0.13784785289694984
MMP1032,-0.6274964575160806,0.016568251550114165,12,2,-0.45331975822893117,0.17417669928714985,0.13784785289694984
MMP0245,-1.0520045404540599,0.01728367906135304,12,2,-0.5125271577147266,0.5394773827393337,0.139760928856088
MMP1136,0.6317843266186618,0.017436630861695435,12,2,0.861835938353753,0.230051611735091,0.139760928856088
MMP1411,0.6569873894199829,0.017470116107011,12,2,-0.25887192976351986,-0.9158593191835029,0.139760928856088
MMP0261,-1.5959449857959973,0.018085213855359064,11,2,-1.1926230283085149,0.40113155004347273,0.14191083503264146
MMP0290,0.7354255078122837,0.018542413502541297,12,2,0.03390905179032889,-0.7015164560219551,0.14191083503264146
MMP1444,2.375946283142962,0.018632960170502085,6,2,0.8207882736568389,-1.3457893457069117,0.14191083503264146
MMP1462,-1.0828664434693689,0.018648539219033013,12,2,0.2861575934199063,1.3690240368892759,0.14191083503264146
MMP1315,-0.9218669082305566,0.019888892995613885,9,2,-0.8610146055544315,-0.07527332398249417,0.14734153289411772
MMP0258,0.9010096764366956,0.019973065245362236,12,2,-0.546533282638876,-1.447542959075572,0.14734153289411772
MMP0667,0.748489264143562,0.02017085876211313,12,2,0.1085252601121665,-0.639964004031396,0.14734153289411772
MMP1679,-1.1734462891658917,0.020306685623227766,10,2,-0.9154503768276392,0.4201581032297942,0.14734153289411772
MMP0927,-1.650824129691478,0.020576532498309173,8,2,0.2855407299698864,1.560362761802093,0.14758340550511406
MMP1537,-0.6086597361612951,0.02145740337629772,10,2,0.40534968710788394,1.014009423269179,0.151047027258507
MMP1711,-0.598499880554029,0.021742156414607913,12,2,-0.2502782846860364,0.34822159586799284,0.151047027258507
MMP0250,0.5691720313534621,0.021976954715831786,11,2,-0.18786684935608658,-0.6307948390540992,0.151047027258507
MMP0961,-1.1715030025743554,0.022027691475198938,12,2,1.2472757001719625,2.418778702746318,0.151047027258507
MMP1310,1.1417431719568472,0.022315218445806684,12,2,0.05609198875437441,-1.0856511832024733,0.1513553946759062
MMP1274,1.4616058608677673,0.02260963130865054,12,2,-0.45952347599858445,-1.9211293368663525,0.15170333265159072
MMP1697,1.3993612431010134,0.02343409930121864,12,2,-0.7735026184267921,-2.1728638615278064,0.15556253153149396
MMP0045,-0.9966727304990337,0.02417194172602579,12,2,-0.8076638154827821,0.18900891501625208,0.1564584838825075
MMP1451,1.280900089042034,0.024751990020364108,5,2,-1.1062891160723887,-0.5471119204168523,0.1564584838825075
MMP0736,0.5088200956915611,0.025062304406230092,12,2,0.31624457450141213,-0.19257552119014912,0.1564584838825075
MMP1547,0.804675250595353,0.02523691061805959,12,2,-0.20616105758858358,-1.010836308183937,0.1564584838825075
MMP0829,0.9614548784013742,0.025530380565907958,9,2,-0.08919582907317622,-1.0210519065788948,0.1564584838825075
MMP0823,0.7140131572361865,0.025599092888788127,12,2,1.0904237964298347,0.3764106391936479,0.1564584838825075
MMP0526,-1.0100673450753266,0.025827042774719585,5,2,-1.2097149860749257,-0.5676996542416256,0.1564584838825075
MMP0325,-0.69204764510012,0.02596919259990045,12,2,0.011109419820218902,0.703157064920339,0.1564584838825075
MMP0023,-2.687040727742842,0.026259939594752427,7,2,-0.43832345640035747,1.8419065769406917,0.1564584838825075
MMP1188,0.5159065109762003,0.026510352297516988,12,2,-0.5254618665209566,-1.0413683774971572,0.1564584838825075
MMP0654,-0.5451583365517497,0.02734999673536363,12,2,-1.1120036563883406,-0.5668453198365905,0.1564584838825075
MMP1509,0.6012213842021338,0.02751305413163519,12,2,0.12485421620827246,-0.4763671679938617,0.1564584838825075
MMP0447,0.7838303780470358,0.027709873013463338,11,2,-0.515086555707724,-1.1770572869336746,0.1564584838825075
MMP0627,0.6527731836977693,0.027871606519065905,11,2,-0.10424756149352984,-0.811616440485979,0.1564584838825075
MMP0602,-1.8544906516530018,0.02795219692557376,7,2,-0.36716804639213957,1.3971673413092607,0.1564584838825075
MMP0603,1.2843550666761918,0.027962075240640347,11,2,0.46911339786092965,-0.8213811891877134,0.1564584838825075
MMP1404,0.6863062541496029,0.028170640485003083,12,2,0.04163143678110783,-0.6446748173684954,0.1564584838825075
MMP1646,-1.3272381304687222,0.028225404684162014,7,2,-0.8654161587016557,0.4603736591743538,0.1564584838825075
MMP0457,1.021660089883441,0.028546642159313025,12,2,-0.053488389351792225,-1.0751484792352335,0.1564584838825075
MMP0593,-0.7517699806754822,0.028673323812797972,11,2,-0.38475740745957393,0.2954420896898019,0.1564584838825075
MMP1358,-2.0707723280301797,0.028834496228346735,10,2,-1.1541225442720964,0.9166497837580835,0.1564584838825075
MMP0156,0.7013899164752092,0.02986812719152587,12,2,-0.02967800969917102,-0.7310679261743807,0.15949231820326257
MMP1403,1.2310699611503855,0.02990480966311173,12,2,0.11822769986463681,-1.1128422612857491,0.15949231820326257
MMP1134,0.9539188610339546,0.031560544029279713,10,2,1.5035426651289119,0.5496238040949578,0.16589426726913822
MMP1410,0.9324506969863636,0.03163688750805681,12,2,-0.5446611976125718,-1.4771118945989359,0.16589426726913822
MMP0259,0.9074908042965112,0.03344762914023887,12,2,-0.00011908071580664832,-0.9076098850123181,0.173145618572539
MMP0224,-1.277225571400667,0.03357471129371349,9,2,-0.49556235330790094,0.7120444268823911,0.173145618572539
MMP0059,-0.9214236617617173,0.03668505754934248,12,2,-0.6276014768174452,0.29382218494427254,0.18429300070256513
MMP1063,-0.47536176046613415,0.03682067876599998,12,2,-0.23031305380859746,0.2450487066575369,0.18429300070256513
MMP1616,-0.8127455411431089,0.037039283896638034,12,2,-0.8157371414726162,-0.002991600329506553,0.18429300070256513
MMP1300,-2.300393470900896,0.037144342440444775,7,2,0.7092792133881801,2.7675663907028007,0.18429300070256513
MMP1218,-0.539118184772235,0.03752874903113519,12,2,-0.16989632863075776,0.36922185614147746,0.18429300070256513
MMP1513,-2.7240582490684515,0.037645433734164464,9,2,0.529936148421615,3.2961211890444964,0.18429300070256513
MMP1609,0.527904862815649,0.03780369245180823,12,2,0.2599928317721006,-0.26791203104354855,0.18429300070256513
MMP1151,0.5595210642618641,0.038780807228358485,10,2,-0.7543995541849323,-1.1902988017617273,0.1865609381374706
MMP1432,-0.8277902968782038,0.038866862111973044,12,2,-0.46106722692361024,0.3667230699545938,0.1865609381374706
MMP1492,3.456787971201708,0.03998702745722648,6,2,1.9482270438791673,-1.2412883226658085,0.18906800695216822
MMP1418,0.6344967979704114,0.04027103246881975,12,2,-0.28714464184580024,-0.9216414398162119,0.18906800695216822
MMP1704,-1.049024949481244,0.0402981489176897,9,2,-0.864975804138675,-0.14776723050415952,0.18906800695216822
MMP0344,0.6064657352760938,0.0407415026933375,11,2,0.5553998253416614,-0.056241826578300645,0.18972162448240745
