category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
NetworkNeighborAL	CL:2537	13	13	406327	ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA-2,mtrG,mtrH,ABR54843.1	ABR54773.1,ABR54774.1,ABR54775.1,ABR54776.1,ABR54777.1,mtrE,mtrD,mtrC,mtrB,mtrA-2,mtrG,mtrH,ABR54843.1	3.73e-05	0.00066	Methanogenesis
NetworkNeighborAL	CL:643	14	16	406327	ABR53955.1,ABR54293.1,ilvE,leuC,leuC-2,ilvE-2,leuD,MMP0153,ilvD,hacB,ilvC,ABR55434.1,ABR55435.1,ABR55585.1	ABR53955.1,ABR54293.1,ilvE,leuC,leuC-2,ilvE-2,leuD,ABR55056.1,ilvD,hacB,ilvC,ABR55434.1,ABR55435.1,ABR55585.1	4.96e-05	0.0008	Branched-chain amino acid metabolic process
NetworkNeighborAL	CL:2435	16	22	406327	ABR53984.1,ABR53985.1,ABR53986.1,ABR53987.1,ABR53989.1,ABR53990.1,ABR54598.1,ABR54600.1,ABR54601.1,ABR54896.1,ABR54897.1,ABR54899.1,ABR54900.1,ABR54901.1,ABR54902.1,ABR54995.1	ABR53984.1,ABR53985.1,ABR53986.1,ABR53987.1,ABR53989.1,ABR53990.1,ABR54598.1,ABR54600.1,ABR54601.1,ABR54896.1,ABR54897.1,ABR54899.1,ABR54900.1,ABR54901.1,ABR54902.1,ABR54995.1	6.8e-05	0.001	Mixed, incl. Oxidoreductase activity, acting on hydrogen as donor, and Selenocysteine
NetworkNeighborAL	CL:639	29	67	406327	ABR53955.1,hisG,hisD,ABR54255.1,ABR54293.1,ilvE,argD,leuC,hisC,asd,leuC-2,ABR54747.1,ABR54907.1,hisF,argG,argC,ilvE-2,ABR55040.1,leuD,ABR55046.1,MMP0153,ilvD,hacB,dapA,ilvC,ABR55434.1,ABR55435.1,ABR55585.1,ABR55587.1	ABR53955.1,hisG,hisD,ABR54255.1,ABR54293.1,ilvE,argD,leuC,hisC,asd,leuC-2,ABR54747.1,ABR54907.1,hisF,argG,argC,ilvE-2,ABR55040.1,leuD,ABR55046.1,ABR55056.1,ilvD,hacB,dapA,ilvC,ABR55434.1,ABR55435.1,ABR55585.1,ABR55587.1	0.00015	0.0022	Biosynthesis of amino acids
NetworkNeighborAL	CL:2366	12	15	406327	ABR54938.1,MMP0039,MMP0040,tfb,ABR54942.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1	ABR54938.1,ABR54939.1,ABR54940.1,tfb,ABR54942.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1	0.00031	0.0044	Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Type II secretion system (T2SS), protein F
NetworkNeighborAL	CL:775	10	10	406327	ABR54203.1,purF,purM,purA,purT,purQ,purL,purE,purD,MMP0540	ABR54203.1,purF,purM,purA,purT,purQ,purL,purE,purD,purC	0.00031	0.0044	Purine biosynthesis
NetworkNeighborAL	CL:2364	17	31	406327	ABR54938.1,MMP0039,MMP0040,tfb,ABR54942.1,ABR54943.1,ABR54944.1,ABR54945.1,ABR54946.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1,ABR55141.1	ABR54938.1,ABR54939.1,ABR54940.1,tfb,ABR54942.1,ABR54943.1,ABR54944.1,ABR54945.1,ABR54946.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1,ABR55141.1	0.0005	0.0066	Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Transcription preinitiation complex
NetworkNeighborAL	CL:2256	31	85	406327	ABR54166.1,ABR54167.1,ABR54521.1,ABR54876.1,ABR54877.1,ABR54878.1,ABR54879.1,ABR54921.1,ABR54924.1,MMP1720,ABR54926.1,ABR54929.1,ABR54938.1,MMP0039,MMP0040,tfb,ABR54942.1,ABR54943.1,ABR54944.1,ABR54945.1,ABR54946.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1,ABR55141.1,ABR55359.1,ABR55463.1	ABR54166.1,ABR54167.1,ABR54521.1,ABR54876.1,ABR54877.1,ABR54878.1,ABR54879.1,ABR54921.1,ABR54924.1,ABR54925.1,ABR54926.1,ABR54929.1,ABR54938.1,ABR54939.1,ABR54940.1,tfb,ABR54942.1,ABR54943.1,ABR54944.1,ABR54945.1,ABR54946.1,ABR54948.1,ABR54949.1,ABR54950.1,ABR54951.1,ABR54953.1,ABR54954.1,ABR54955.1,ABR55141.1,ABR55359.1,ABR55463.1	0.001	0.0127	Mixed, incl. Cell projection, and Signaling
NetworkNeighborAL	CL:860	13	24	406327	sucD,ABR54298.1,ABR54338.1,ABR54494.1,ABR54532.1,ABR54719.1,ABR54720.1,ABR54721.1,ABR54722.1,ABR55116.1,ABR55163.1,ABR55213.1,ABR55214.1	sucD,ABR54298.1,ABR54338.1,ABR54494.1,ABR54532.1,ABR54719.1,ABR54720.1,ABR54721.1,ABR54722.1,ABR55116.1,ABR55163.1,ABR55213.1,ABR55214.1	0.0025	0.0307	Carbon fixation pathways in prokaryotes
NetworkNeighborAL	CL:2436	10	15	406327	ABR53984.1,ABR53985.1,ABR53986.1,ABR53987.1,ABR53989.1,ABR53990.1,ABR54598.1,ABR54600.1,ABR54601.1,ABR54995.1	ABR53984.1,ABR53985.1,ABR53986.1,ABR53987.1,ABR53989.1,ABR53990.1,ABR54598.1,ABR54600.1,ABR54601.1,ABR54995.1	0.0026	0.0313	Coenzyme F420 hydrogenase activity, and Peptidase A31, coenzyme F420-reducing hydrogenase delta subunit
NetworkNeighborAL	CL:2538	7	7	406327	mtrE,mtrD,mtrC,mtrB,mtrA-2,mtrG,mtrH	mtrE,mtrD,mtrC,mtrB,mtrA-2,mtrG,mtrH	0.0026	0.0313	Tetrahydromethanopterin S-methyltransferase activity
NetworkNeighborAL	CL:2367	8	10	406327	ABR54938.1,MMP0039,MMP0040,tfb,ABR54942.1,ABR54953.1,ABR54954.1,ABR54955.1	ABR54938.1,ABR54939.1,ABR54940.1,tfb,ABR54942.1,ABR54953.1,ABR54954.1,ABR54955.1	0.0033	0.0367	Mixed, incl. sno(s)RNA-containing ribonucleoprotein complex, and Type II secretion system (T2SS), protein F
NetworkNeighborAL	CL:645	7	8	406327	leuC,leuD,ilvD,ilvC,ABR55434.1,ABR55435.1,ABR55585.1	leuC,leuD,ilvD,ilvC,ABR55434.1,ABR55435.1,ABR55585.1	0.0043	0.0465	Valine, leucine and isoleucine biosynthesis
