Gene names (ordered locus ),group1,group2,mean_group1,mean_group2,log2FC,n_group1,n_group2,p_value,fdr
MMP1711,xs,i,0.4221199078035885,1.3139819924323584,-0.8918620846287699,3,3,0.05787430797938497,0.6083871440851785
MMP1404,xs,i,-1.1303178731492451,-0.7036643298869154,-0.42665354326232974,3,3,0.05837473154253802,0.6083871440851785
MMP0258,xs,i,-2.103862850508895,-1.5339292475720088,-0.5699336029368864,3,3,0.05865557364032709,0.6083871440851785
MMP0057,xs,i,-0.3654034522348602,-1.60825565370839,1.24285220147353,3,3,0.059016617958379994,0.6083871440851785
MMP0352,xs,i,-1.4530815870277907,0.8558501542655327,-2.3089317412933235,3,3,0.06038397387178647,0.6083871440851785
MMP0618,xs,i,2.271477458322974,1.025139882814847,1.2463375755081272,3,2,0.06359253566381393,0.6083871440851785
MMP0073,xs,i,0.25667941882369916,-0.27766248877499444,0.5343419075986936,3,3,0.06513040345943127,0.6083871440851785
MMP0879,xs,i,0.7493618504831675,-0.3707848660970409,1.1201467165802084,3,3,0.06551765513493056,0.6083871440851785
MMP0340,xs,i,-0.17997239924491093,1.0533753828591716,-1.2333477821040826,3,3,0.0661051074835248,0.6083871440851785
MMP1298,xs,i,0.19453150518773435,-0.6605742823417446,0.855105787529479,3,3,0.06736163716838652,0.6083871440851785
MMP0317,xs,i,-0.49264564081730566,-0.0592203605911355,-0.43342528022617016,3,3,0.06919081034396027,0.6083871440851785
MMP1013,xs,i,0.6555617545253902,0.26208594577455624,0.393475808750834,3,3,0.06935486464437109,0.6083871440851785
MMP1424,xs,i,1.515881944543114,0.9894766330785396,0.5264053114645744,3,3,0.071333051422413,0.6083871440851785
MMP0542,xs,i,1.830834760031393,2.879049507015348,-1.0482147469839551,3,2,0.07157859693261469,0.6083871440851785
