Gene names (ordered locus ),growth_rate,bio_rep,log2_ratio
MMP0041,f,1.0,-0.09235932703160717
MMP0041,f,2.0,0.19696514619366834
MMP0041,f,3.0,0.2715756948830475
MMP0041,m,1.0,-0.08903923379228096
MMP0041,m,2.0,-0.04545478780263196
MMP0041,m,3.0,0.05852482366997044
MMP0041,s,1.0,-0.05698640412063393
MMP0041,s,2.0,-0.23863269623036018
MMP0041,s,3.0,0.5352036654567732
MMP0041,xs,1.0,0.3287444826349403
MMP0041,xs,2.0,0.7146045078917246
MMP0041,xs,3.0,0.7921040393581166
MMP0042,f,1.0,0.17162942728372046
MMP0042,f,2.0,0.11951568172511859
MMP0042,f,3.0,0.11930556853468834
MMP0042,m,1.0,-0.3754969292208971
MMP0042,m,2.0,-0.06112183894827832
MMP0042,m,3.0,-0.04133606501569681
MMP0042,s,1.0,0.10676945123085085
MMP0042,s,2.0,-0.12370782559525458
MMP0042,s,3.0,-0.14720210718122878
MMP0042,xs,1.0,0.10835717809041852
MMP0042,xs,2.0,0.4321007789509956
MMP0043,m,1.0,0.6995516325230893
MMP0044,f,1.0,-0.10016383087383142
MMP0044,f,2.0,-0.2463733401330507
MMP0044,f,3.0,-0.23057464791191515
MMP0044,m,1.0,0.7301683342071303
MMP0044,m,2.0,-0.4338145576074261
MMP0044,m,3.0,0.13600147707627538
MMP0044,s,1.0,0.18943697475328966
MMP0044,s,2.0,-0.2084669612635961
MMP0044,s,3.0,-0.09924778516072928
MMP0044,xs,1.0,-0.006523884269828917
MMP0044,xs,2.0,0.018246083859431925
MMP0044,xs,3.0,1.6209325806558992
MMP0045,f,1.0,-1.5981002441128431
MMP0045,f,2.0,-0.614537743939954
MMP0045,f,3.0,-0.803815453653232
MMP0045,m,1.0,-0.3594835814198662
MMP0045,m,2.0,-0.7238960734195141
MMP0045,m,3.0,-0.6769419868369712
MMP0045,s,1.0,-0.8541932272038565
MMP0045,s,2.0,-0.600826816376201
MMP0045,s,3.0,-0.09584453978820334
MMP0045,xs,1.0,-0.5024015057991195
MMP0045,xs,2.0,-0.5098776475733051
MMP0045,xs,3.0,-0.8172502978182387
MMP0046,m,1.0,1.695102985640479
MMP0046,s,3.0,-2.473931188332412
MMP0046,xs,3.0,-0.8324367985759494
MMP0049,f,3.0,-0.3455644591546006
MMP0049,m,2.0,1.7895206036003115
MMP0049,s,3.0,1.597361961589015
MMP0049,xs,1.0,0.5227340669136596
MMP0050,f,1.0,-0.43488584479487374
MMP0050,f,2.0,-0.21570045281815972
MMP0050,f,3.0,-1.1510312650584187
MMP0050,m,1.0,-0.3840467079738576
MMP0050,m,2.0,-0.24447855957829454
MMP0050,m,3.0,-0.5585165204173551
MMP0050,s,1.0,-0.5109369198050157
MMP0050,s,2.0,0.08715691377150135
MMP0050,s,3.0,-0.9336520601838703
MMP0050,xs,1.0,-0.29310580547586956
MMP0050,xs,2.0,-0.6190575994541594
MMP0050,xs,3.0,-0.5232531916417099
MMP0051,f,1.0,-1.2105260408515277
MMP0051,f,2.0,-1.1988098382473458
MMP0051,f,3.0,-1.0654112068204589
MMP0051,m,1.0,-0.7420401033692556
MMP0051,m,2.0,-1.2050760792809205
MMP0051,m,3.0,-0.9744717755006621
MMP0051,s,1.0,-1.1807354160448778
MMP0051,s,2.0,-0.913903579351954
MMP0051,s,3.0,0.1222110521787856
MMP0051,xs,1.0,0.2765615642633146
MMP0051,xs,2.0,-0.635438161275661
MMP0051,xs,3.0,-0.14435040777004185
MMP0052,f,1.0,-0.17829495176355714
MMP0052,f,2.0,-0.0994257428789334
MMP0052,f,3.0,-0.9930322156710808
MMP0052,m,1.0,0.45946551403133595
MMP0052,m,2.0,-0.2635106936162727
MMP0052,m,3.0,-0.8013351125626732
MMP0052,s,1.0,-0.13096876613527234
MMP0052,s,2.0,-0.18027792590703284
MMP0052,s,3.0,0.3663946504861535
MMP0052,xs,1.0,0.2038849122067176
MMP0052,xs,2.0,0.6457005598470219
MMP0052,xs,3.0,0.13241782632091137
MMP0053,f,1.0,2.249595337532623
MMP0053,f,2.0,1.9304649661177087
MMP0053,m,1.0,2.196640500615839
MMP0053,m,2.0,2.2141248053528475
MMP0053,s,1.0,1.9091464404659901
MMP0053,s,2.0,2.3995776655813987
MMP0055,f,3.0,-0.9875536643060507
MMP0055,m,1.0,-0.12324907514771721
MMP0055,m,2.0,-0.7379842145296798
MMP0055,m,3.0,-0.7906513506487155
MMP0055,s,1.0,-0.3255393484397412
MMP0055,s,2.0,-0.4540316308947075
MMP0055,s,3.0,0.28637067100650304
MMP0055,xs,2.0,-0.0073678331914854844
MMP0055,xs,3.0,-2.178413616221899
MMP0057,f,1.0,-1.2703038488640235
MMP0057,f,2.0,-0.6091304668256375
MMP0057,f,3.0,-1.0352984065358888
MMP0057,m,1.0,-1.2914130312404877
MMP0057,m,2.0,-1.1969321015205936
MMP0057,m,3.0,-0.22368219371076656
MMP0057,s,1.0,-1.3386961877128873
MMP0057,s,2.0,-1.4428681667004941
MMP0057,s,3.0,-0.9605111901311137
MMP0057,xs,1.0,-1.2640413120601515
MMP0057,xs,2.0,-0.4793789621467704
MMP0057,xs,3.0,1.4538963931773994
MMP0058,f,1.0,1.099886833232471
MMP0058,f,2.0,0.9320751550523968
MMP0058,f,3.0,0.7668841715569169
MMP0058,m,1.0,0.9833860328984908
MMP0058,m,2.0,0.8893128386422839
MMP0058,m,3.0,1.257441483379206
MMP0058,s,1.0,1.2871273069012683
MMP0058,s,2.0,1.0390096607098844
MMP0058,s,3.0,1.0185481799732787
MMP0058,xs,1.0,0.8753592543455762
MMP0058,xs,2.0,1.341768862521514
MMP0058,xs,3.0,0.6459903417656301
MMP0059,f,1.0,-0.6415655178032563
MMP0059,f,2.0,-0.20047949394645095
MMP0059,f,3.0,-0.851843737999574
MMP0059,m,1.0,-0.0368024403627242
MMP0059,m,2.0,-0.2839818672991445
MMP0059,m,3.0,-0.7383469529719348
MMP0059,s,1.0,0.027836368976917974
MMP0059,s,2.0,-0.004852945996870684
MMP0059,s,3.0,-0.36186285190632955
MMP0059,xs,1.0,-0.20587340941628796
MMP0059,xs,2.0,-0.8758745325563463
