gene,mean_formate,mean_phosphate,n_formate,n_phosphate,log2FC
fwdA,,,0,0,
fwdB,,,0,0,
mcrA,,,0,0,
mcrB,,,0,0,
mcrG,,,0,0,
mer,,,0,0,
mtd,,,0,0,
