Gene names (ordered locus ),growth_rate,mean_formate,mean_phosphate,log2FC_within_growth_rate,n_formate,n_phosphate,p_value_within_growth_rate,fdr_within_growth_rate
MMP0261,f,-1.1223739925119862,0.350596181243034,-1.4729701737550203,3,3,0.15361682459286757,0.5114671060558635
MMP0263,f,-0.5172176715070288,-0.5085609281369955,-0.008656743370033304,3,2,0.9916928702618345,0.9988461319774398
MMP0264,f,-1.4788023814696896,-1.3395931696169328,-0.1392092118527568,1,2,,
MMP0267,f,1.0850570711965744,-0.6859771042506756,1.7710341754472498,2,1,,
MMP0274,f,-0.8383654673129618,0.2373128463972002,-1.075678313710162,3,3,0.0565476166318365,0.3897415080343707
MMP0278,f,-0.189210287420847,-0.6183673507940416,0.4291570633731946,3,3,0.6538322196798481,0.8413122097107453
MMP0279,f,-0.11872693857075141,-0.647426113070924,0.5286991745001726,1,2,,
MMP0281,f,0.12139532739574238,1.4012638786366896,-1.2798685512409471,3,3,0.12091607939656052,0.4738735419266015
MMP0282,f,-2.887663725044211,-1.0960204874285118,-1.7916432376156994,2,3,0.40254477371532493,0.6970241541246932
MMP0284,f,1.2270358049053485,-1.408246736583029,2.6352825414883774,1,1,,
MMP0285,f,-0.8402056564126585,0.5396097112422632,-1.3798153676549219,3,3,0.10205010587729427,0.4648811461820055
MMP0289,f,0.6810318022669096,-0.5676996538749238,1.2487314561418335,2,3,0.599919046710113,0.8158087900471738
MMP0290,f,-0.33765884574494903,-0.6690350483058344,0.33137620256088535,3,3,0.264408453318549,0.6123143129482187
MMP0291,f,0.27978611039745227,-0.2343663205214599,0.5141524309189122,3,3,0.24202840038621506,0.6007269014714262
MMP0295,f,-1.2618459740628818,0.3911248792089327,-1.6529708532718144,3,1,,
MMP0297,f,-0.10526754203887416,-0.94686749414923,0.8415999521103559,3,3,0.00275397950526726,0.17931297369025614
MMP0298,f,-0.06647504173788525,-0.05292614817545412,-0.013548893562431129,3,3,0.9816194991776661,0.9942854499691274
MMP0302,f,0.3571032145120408,0.9528880806420363,-0.5957848661299956,3,2,0.3511302921078556,0.6805787099194448
MMP0308,f,1.2455188074475372,0.45193157609196927,0.7935872313555679,3,3,0.005696890904643808,0.22977459982063358
MMP0309,f,-0.5986002718222491,-0.4800215176984686,-0.11857875412378044,3,3,0.8725584812915272,0.9474099937779353
MMP0311,f,1.163078497783823,-0.5085609292371007,1.6716394270209238,2,2,0.011117692122394211,0.27496318272309106
MMP0312,f,0.1556646833956142,-0.5676996531012589,0.7233643364968732,3,3,0.35936776719114416,0.6833114425965802
MMP0317,f,-0.2554694553176327,-0.3329882527388152,0.0775187974211825,3,3,0.8179205727415183,0.9271043494306671
MMP0318,f,-0.9362873642242109,-0.2883852396850529,-0.647902124539158,3,3,0.11004485596833591,0.4648811461820055
MMP0325,f,-0.17624096989703805,0.5064311538608036,-0.6826721237578417,3,3,0.25028752136545385,0.6041853383585021
MMP0326,f,-0.5671469319326532,-0.16023551277877723,-0.40691141915387596,3,3,0.44929854610079545,0.7200678685853807
MMP0327,f,-0.3115266538864034,-1.0960204861521383,0.7844938322657349,3,3,0.4208269336547406,0.7072230412808835
MMP0330,f,-0.6107358692347807,-0.14742611252087146,-0.4633097567139093,1,2,,
MMP0331,f,-0.4458953501315152,-2.3416756860067536,1.8957803358752383,3,3,0.06075491697077543,0.3970200967974361
MMP0335,f,1.178908567128038,0.613852127409741,0.5650564397182969,3,2,0.7389722731924103,0.8908158909716727
MMP0340,f,-1.037659876646477,0.563072820635896,-1.600732697282373,3,3,0.02304923674535656,0.32822614781107856
MMP0341,f,-1.1977552680226875,0.06009263740867482,-1.2578479054313623,3,2,0.18825672019809073,0.5413075680469408
MMP0344,f,0.47426162221417373,0.07147962634399864,0.4027819958701751,3,3,0.3669144242930861,0.6841348412092375
MMP0345,f,0.15802322652505288,0.8397644869696818,-0.6817412604446289,3,3,0.0033598225978339617,0.17931297369025614
MMP0346,f,-0.03714353809028323,0.546510014538159,-0.5836535526284422,3,3,0.1512122607751948,0.5100120851233052
MMP0348,f,-1.1932721864200098,-0.408246736583029,-0.7850254498369807,2,1,,
MMP0351,f,0.7931174063652026,-0.6088751218911723,1.401992528256375,2,1,,
MMP0353,f,-0.6750917038411827,0.3911248792089327,-1.0662165830501154,3,1,,
MMP0357,f,2.4736385735196267,-1.0085609292371007,3.4821995027567274,2,2,0.07497019481665423,0.4345577759432413
MMP0358,f,0.18868873105327963,1.3816326488932305,-1.1929439178399508,3,3,0.2265631633948454,0.5870942519691559
MMP0369,f,-0.008228581870418528,-0.034064971939793444,0.025836390069374916,3,3,0.9494098312107453,0.9808204019338329
MMP0370,f,-0.8202729092878003,1.1767157647763138,-1.996988674064114,3,1,,
MMP0372,f,0.6748781399391994,0.2753023784209778,0.3995757615182216,3,3,0.2610514915905543,0.6116337872678139
