label,p_value_formate,fdr_formate,description,category,venn_region,p_value_phosphate,fdr_phosphate
"Mixed, incl. TPR repeat, and Protein folding [NetworkNeighborAL]",0.0018,0.0238,"Mixed, incl. TPR repeat, and Protein folding",NetworkNeighborAL,formate_only,,
Cytosolic ribosome [COMPARTMENTS],0.0019,0.0351,Cytosolic ribosome,COMPARTMENTS,formate_only,,
"Mixed, incl. Ferredoxin hydrogenase complex, and NADH dehydrogenase [NetworkNeighborAL]",0.0019,0.0248,"Mixed, incl. Ferredoxin hydrogenase complex, and NADH dehydrogenase",NetworkNeighborAL,formate_only,,
"Mixed, incl. Preribosome, and rRNA processing [NetworkNeighborAL]",0.0021,0.026,"Mixed, incl. Preribosome, and rRNA processing",NetworkNeighborAL,formate_only,,
Ribosomal subunit [COMPARTMENTS],0.0028,0.0466,Ribosomal subunit,COMPARTMENTS,formate_only,,
Oxidoreductase complex [COMPARTMENTS],0.003,0.0466,Oxidoreductase complex,COMPARTMENTS,formate_only,,
Catalytic complex [COMPARTMENTS],0.0033,0.0469,Catalytic complex,COMPARTMENTS,formate_only,,
"Mixed, incl. Prosthetic group metabolic process, and Nitrogen metabolism [NetworkNeighborAL]",0.0033,0.0361,"Mixed, incl. Prosthetic group metabolic process, and Nitrogen metabolism",NetworkNeighborAL,formate_only,,
Citrate cycle (TCA cycle) [NetworkNeighborAL],0.0041,0.0432,Citrate cycle (TCA cycle),NetworkNeighborAL,formate_only,,
"Transferase complex, transferring phosphorus-containing groups [Component]",0.0043,0.0473,"Transferase complex, transferring phosphorus-containing groups",Component,formate_only,,
DNA-directed RNA polymerase complex [Component],0.0044,0.0473,DNA-directed RNA polymerase complex,Component,formate_only,,
Intracellular protein-containing complex [Component],0.0057,0.0487,Intracellular protein-containing complex,Component,formate_only,,
Catalytic complex [Component],0.0058,0.0487,Catalytic complex,Component,formate_only,,
Transferase complex [Component],0.0065,0.0488,Transferase complex,Component,formate_only,,
Intracellular anatomical structure [Component],1.37e-10,6.53e-09,Intracellular anatomical structure,Component,overlap,0.00033,0.02
Carbon metabolism [KEGG],4.95e-10,1.98e-08,Carbon metabolism,KEGG,overlap,2.51e-11,5.02e-10
Organic substance biosynthetic process [Process],6.35e-10,4.8e-08,Organic substance biosynthetic process,Process,overlap,6.78e-12,2.82e-09
Metabolic process [Process],1.36e-09,9.42e-08,Metabolic process,Process,overlap,5.84e-06,0.00017
Biosynthetic process [Process],1.38e-09,9.42e-08,Biosynthetic process,Process,overlap,1.24e-11,3.45e-09
Cellular biosynthetic process [Process],1.86e-09,1.1e-07,Cellular biosynthetic process,Process,overlap,1.82e-12,1.51e-09
Organic substance metabolic process [Process],6.06e-09,3.15e-07,Organic substance metabolic process,Process,overlap,6.33e-06,0.00017
Microbial metabolism in diverse environments [KEGG],8.99e-09,2.4e-07,Microbial metabolism in diverse environments,KEGG,overlap,7.71e-15,3.08e-13
"Methane metabolism, and Carbonic anhydrase [NetworkNeighborAL]",1.37e-08,3.88e-07,"Methane metabolism, and Carbonic anhydrase",NetworkNeighborAL,overlap,7.26e-16,2.68e-13
Cellular metabolic process [Process],2.51e-08,1.23e-06,Cellular metabolic process,Process,overlap,1.17e-07,1.22e-05
"Mixed, incl. Methane metabolism, and Plasma membrane [NetworkNeighborAL]",1.46e-07,3.59e-06,"Mixed, incl. Methane metabolism, and Plasma membrane",NetworkNeighborAL,overlap,2.25e-07,6.37e-06
"Mixed, incl. Methane metabolism, and 4Fe-4S dicluster domain [NetworkNeighborAL]",1.79e-07,4.12e-06,"Mixed, incl. Methane metabolism, and 4Fe-4S dicluster domain",NetworkNeighborAL,overlap,6.22e-12,7.65e-10
Cellular process [Process],8.77e-07,3.65e-05,Cellular process,Process,overlap,1.88e-05,0.00038
Methane metabolism [KEGG],1.83e-06,3.66e-05,Methane metabolism,KEGG,overlap,1.64e-12,4.38e-11
Cellular nitrogen compound biosynthetic process [Process],3.04e-06,0.00012,Cellular nitrogen compound biosynthetic process,Process,overlap,0.0016,0.0194
Organonitrogen compound metabolic process [Process],7.34e-06,0.00028,Organonitrogen compound metabolic process,Process,overlap,0.00037,0.0048
Binding [Function],4.18e-05,0.0039,Binding,Function,overlap,0.00013,0.0143
Methane metabolism [NetworkNeighborAL],4.99e-05,0.001,Methane metabolism,NetworkNeighborAL,overlap,1.75e-09,7.17e-08
Oxidoreductase activity [Function],5.57e-05,0.0045,Oxidoreductase activity,Function,overlap,8.54e-09,4.83e-06
"Mixed, incl. Methanogenesis, and Radical SAM superfamily [NetworkNeighborAL]",5.93e-05,0.0012,"Mixed, incl. Methanogenesis, and Radical SAM superfamily",NetworkNeighborAL,overlap,1.23e-07,4.13e-06
"Mixed, incl. Methanogenesis, and ABC transporter-like, conserved site [NetworkNeighborAL]",0.00011,0.0021,"Mixed, incl. Methanogenesis, and ABC transporter-like, conserved site",NetworkNeighborAL,overlap,4.13e-07,1.09e-05
Organonitrogen compound biosynthetic process [Process],0.00013,0.0044,Organonitrogen compound biosynthetic process,Process,overlap,4.91e-06,0.00015
Cellular respiration [Process],0.00034,0.0115,Cellular respiration,Process,overlap,3.48e-08,5.78e-06
Carbon fixation pathways in prokaryotes [KEGG],0.00035,0.0056,Carbon fixation pathways in prokaryotes,KEGG,overlap,0.0033,0.0187
Methanogenesis [Process],0.0005,0.0154,Methanogenesis,Process,overlap,2.82e-07,2.13e-05
Pyruvate metabolism [KEGG],0.00071,0.0094,Pyruvate metabolism,KEGG,overlap,0.001,0.0081
Generation of precursor metabolites and energy [Process],0.00089,0.0213,Generation of precursor metabolites and energy,Process,overlap,6.78e-06,0.00017
Carbon fixation pathways in prokaryotes [NetworkNeighborAL],0.00098,0.0151,Carbon fixation pathways in prokaryotes,NetworkNeighborAL,overlap,0.0025,0.0307
"Methanogenesis, and Amidohydrolase 3 [NetworkNeighborAL]",0.00098,0.0151,"Methanogenesis, and Amidohydrolase 3",NetworkNeighborAL,overlap,1.23e-05,0.00025
Citrate cycle (TCA cycle) [KEGG],0.0021,0.0211,Citrate cycle (TCA cycle),KEGG,overlap,0.0069,0.0323
Metabolic pathways [KEGG],0.0027,0.0242,Metabolic pathways,KEGG,overlap,4.38e-19,3.5e-17
Methanogenesis [NetworkNeighborAL],0.0028,0.0336,Methanogenesis,NetworkNeighborAL,overlap,3.73e-05,0.00066
