Gene names (ordered locus ),growth_rate,bio_rep,tech_rep,value,Anabolism/Catabolism,Assigned functional subsystem,Annotation (Uniprot),Automatic classification (RAST),Present in dataset
MMP0006,exp,2,,1.151378943,Anabolism,Aromatic compound biosynthesis,3-dehydroquinate synthase (DHQ synthase) (EC 1.4.1.24) (3-dehydroquinate synthase II),Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),yes
MMP0006,exp,3,,0.856381841,Anabolism,Aromatic compound biosynthesis,3-dehydroquinate synthase (DHQ synthase) (EC 1.4.1.24) (3-dehydroquinate synthase II),Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),yes
MMP0009,f,1,,0.0,Anabolism,DNA metabolism/cell division,DNA primase large subunit PriL,DNA replication,no
MMP0013,xs,1,,2.093562007,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,xs,2,,0.721658031,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,xs,3,,2.579938051,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,i,1,,0.740913408,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,i,2,,0.828179512,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,i,3,,3.578112609,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,f,1,,0.983561644,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,f,2,,0.0,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,f,3,,0.0,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,exp,1,,4.165004532,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,exp,2,,1.896388846,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0013,exp,3,,1.00357247,Anabolism,Amino acid biosynthesis,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Amino acid biosynthesis,yes
MMP0017,i,1,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0017,f,1,,0.0,Other,Other/unassigned,Uncharacterized protein,- none -,yes
MMP0020,xs,1,,2.512274409,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,xs,2,,1.082487047,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,xs,3,,2.149948375,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
MMP0020,i,1,,1.111370111,Other,Transport,Putative nickel-responsive regulator,Transport of Nickel and Cobalt,yes
